station	year	month	day	hour	minute	precip_mm
swmm_wet	2004	01	28	02	00	0
swmm_wet	2004	01	28	03	00	0
swmm_wet	2004	01	28	04	00	0
swmm_wet	2004	01	28	05	00	0
swmm_wet	2004	01	28	06	00	0
swmm_wet	2004	01	28	07	00	0
swmm_wet	2004	01	28	08	00	0
swmm_wet	2004	01	28	09	00	0
swmm_wet	2004	01	28	10	00	0
swmm_wet	2004	01	28	11	00	0
swmm_wet	2004	01	28	12	00	0
swmm_wet	2004	01	28	13	00	0
swmm_wet	2004	01	28	14	00	0
swmm_wet	2004	01	28	15	00	0
swmm_wet	2004	01	28	16	00	0
swmm_wet	2004	01	28	17	00	0
swmm_wet	2004	01	28	18	00	0
swmm_wet	2004	01	28	19	00	0
swmm_wet	2004	01	28	20	00	0
swmm_wet	2004	01	28	21	00	0
swmm_wet	2004	01	28	22	00	0
swmm_wet	2004	01	28	23	00	0
swmm_wet	2004	01	29	00	00	0
swmm_wet	2004	01	29	01	00	0
swmm_wet	2004	01	29	02	00	0
swmm_wet	2004	01	29	03	00	0
swmm_wet	2004	01	29	04	00	0
swmm_wet	2004	01	29	05	00	0
swmm_wet	2004	01	29	06	00	0
swmm_wet	2004	01	29	07	00	0
swmm_wet	2004	01	29	08	00	0
swmm_wet	2004	01	29	09	00	0.211
swmm_wet	2004	01	29	10	00	0
swmm_wet	2004	01	29	11	00	0
swmm_wet	2004	01	29	12	00	0
swmm_wet	2004	01	29	13	00	0
